Line,Message
1,=== Battle Log ===
2,Battle started!
3, 
4,--- Turn 1 ---
5, 
6,[Ally’s Turn]
7,- Angel attacks! Reaper takes 0 damage.
8, 
9,[Enemy’s Turn]
10,- Reaper uses Celestial Torrent! Deals 75 damage.
11,- Reaper defends! Reaper's defense increases by 10 for 2 rounds.
12,- Reaper defends! Reaper's defense increases by 9 for 2 rounds.
13, 
14,[Ally’s Turn]
15,- Orc defends! Orc's defense increases by 15 for 2 rounds.
16,- Minotaur uses Blazing Valor! Reaper takes 86 damage.
17, 
18,--- Turn 2 ---
19, 
20,[Ally’s Turn]
21,- Angel uses Celestial Torrent! Reaper takes 111 damage.
22,* reaper defeated! *
23, 
24,[Enemy’s Turn]
25,- Reaper defends! Reaper's defense increases by 13 for 2 rounds.
26,- Reaper defends! Reaper's defense increases by 12 for 2 rounds.
27, 
28,[Ally’s Turn]
29,- Orc attacks! Reaper takes 34 damage.
30,Special ability is on cooldown for 2 rounds.
31,- Minotaur defends! Minotaur's defense increases by 47 for 2 rounds.
32, 
33,--- Turn 3 ---
34, 
35,[Ally’s Turn]
36,- Angel attacks! Reaper takes 0 damage.
37, 
38,[Enemy’s Turn]
39,- Reaper attacks! Deals 0 damage.
40,- Reaper attacks! Deals 0 damage.
41, 
42,[Ally’s Turn]
43,- Orc attacks! Reaper takes 42 damage.
44,Special ability is on cooldown for 1 rounds.
45,- Minotaur attacks! Reaper takes 39 damage.
46, 
47,--- Turn 4 ---
48, 
49,[Ally’s Turn]
50,Special ability is on cooldown for 1 rounds.
51,- Angel attacks! Reaper takes 0 damage.
52, 
53,[Enemy’s Turn]
54,- Reaper attacks! Deals 0 damage.
55,- Reaper uses Blazing Valor! Deals 37 damage.
56, 
57,[Ally’s Turn]
58,- Orc defends! Orc's defense increases by 18 for 2 rounds.
59,- Minotaur uses Blazing Valor! Reaper takes 85 damage.
60, 
61,--- Turn 5 ---
62, 
63,[Ally’s Turn]
64,- Angel attacks! Reaper takes 0 damage.
65, 
66,[Enemy’s Turn]
67,- Reaper attacks! Deals 40 damage.
68,- Reaper attacks! Deals 40 damage.
69, 
70,[Ally’s Turn]
71,- Orc attacks! Reaper takes 128 damage.
72,* reaper defeated! *
73, 
74,--- Turn 6 ---
75, 
76,[Ally’s Turn]
77,- Angel attacks! Reaper takes 0 damage.
78, 
79,[Enemy’s Turn]
80,- Reaper attacks! Deals 0 damage.
81, 
82,[Ally’s Turn]
83,- Orc defends! Orc's defense increases by 22 for 2 rounds.
84,- Minotaur attacks! Reaper takes 63 damage.
85,* reaper defeated! *
86,=== Allies Win! ===
